"@timestamp","event.action","process.command_line","event.code","destination.port","source.port","network.transport"
"Jun 13, 2025 @ 13:21:59.711","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:11.097","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:09.456","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:07.600","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:05.835","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:04.074","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:02.299","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:21:00.538","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:20:58.781","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:20:57.019","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:20:54.911","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 13:20:52.815","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:40:13.693","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:37:06.685","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:30.196","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:28.221","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:26.519","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:24.758","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:22.609","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:20.822","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:19.133","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:17.404","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:15.463","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:13.518","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:35:11.495","logon-failed","-",4625,"-",0,"-"
"Jun 13, 2025 @ 12:34:07.216","logon-failed","-",4625,"-",0,"-"
