"@timestamp","process.name","process.command_line","network.transport","source.port","event.action"
"Jun 13, 2025 @ 21:59:49.058","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:49.056","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:47.235","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:47.202","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:09.058","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:09.055","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:09.052","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:59:09.046","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:57:24.693","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:57:24.688","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:57:23.091","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:57:23.051","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:49:28.519","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:49:28.517","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:49:14.857","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:49:14.832","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:46:59.506","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:46:59.503","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:46:36.061","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:46:36.057","-","-","-","-","vault-credentials-were-read"
"Jun 13, 2025 @ 21:45:18.286","-","-","-","-","vault-credentials-were-read"
